Title,Description,Image URL,Article URL,Author Name,Content Date,Section,Revista
ENDE especializa a personal técnico en su escuela de mantenimiento de subestaciones de alta y extra alta tensión,"ENDE Corporación, a través de su empresa especializada en transporte eléctrico, ENDE Transmisión, tiene bajo su tuición la Escuela de Mantenimiento de Subestaciones de Alta y Extra Alta Tensión en el departamento de Cochabamba, que permite formar ingenieros y técnicos...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/29/2024052916081777278.jpg",https://www.opinion.com.bo/articulo/cochabamba/ende-especializa-personal-tecnico-escuela-mantenimiento-subestaciones-alta-extra-alta-tension/20240529181302946594.html,ENDE,2024-05-29,Cochabamba,opinion
Alerta en la Llajta: mosquito Aedes aegypti causa 70 casos de dengue por día,"Cochabamba todavía reporta casos de dengue con signos de alarma y grave, debido a complicaciones por automedicación. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/04/29/2024042922243535332.jpg",https://www.opinion.com.bo/articulo/cochabamba/alerta-llajta-mosquito-aedes-aegypti-causa-70-casos-dengue-dia/20240529115348946583.html,Violeta Soria,2024-05-29,Cochabamba,opinion
Alistan para junio firma de convenios con BID para equipar establecimientos de salud,"El secretario de Defensa e Industrialización de la Confederación Sindical Única de Trabajadores Campesinos de Bolivia (Csutcb), Guery García, informó que se prevé para el 6 de junio la firma de convenios para el programa del Banco Interamericano de Desarrollo (BID) en torno...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052822460298035.jpg",https://www.opinion.com.bo/articulo/cochabamba/alistan-junio-firma-convenios-bid-equipar-establecimientos-salud/20240529000045946546.html,REDACCIÓN,2024-05-29,Cochabamba,opinion
Pasajes: Transporte levanta bloqueo y continúa socialización de estudio,El dirigente José Orellana afirmó que la Alcaldía iniciará un proceso con todos los sectores sobre la actualización de tarifas.,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052822190262626.jpg",https://www.opinion.com.bo/articulo/cochabamba/pasajes-transporte-levanta-bloqueo-continua-socializacion-estudio/20240529000036946538.html,REDACCIÓN,2024-05-29,Cochabamba,opinion
Pruebas para detectar HPV concluyen este 31 de mayo,"El responsable del Programa de Salud Materna y Salud Sexual y Reproductiva del SEDES, Rodolfo Flores Mercado, informó que la campaña Papanicolaou para prevenir el cáncer cérvico uterino continúa hasta este 31 de mayo. La campaña se lanzó el 14 de mayo y, además, se aplicó...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052822403645308.jpg",https://www.opinion.com.bo/articulo/cochabamba/pruebas-detectar-hpv-concluyen-31-mayo/20240529000033946542.html,REDACCIÓN,2024-05-29,Cochabamba,opinion
Campaña contra poliomielitis llega a 99% de vacunación; restan segundas dosis,"La campaña de lucha contra la poliomielitis alcanza entre el 98% y 99% de aplicación de vacunas; sin embargo, restan las segundas dosis, según el Servicio Departamental de Salud (SEDES). La responsable del Programa Ampliado de Inmunización (PAI) del SEDES, Isabel Quispe,...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052822221015170.jpg",https://www.opinion.com.bo/articulo/cochabamba/campana-poliomielitis-llega-99-vacunacion-restan-segundas-dosis/20240529000023946540.html,REDACCIÓN,2024-05-29,Cochabamba,opinion
Mochilas I: 5 años de cárcel contra Leyes no ‘bastan’ y Alcaldía apelará,Está previsto que la lectura íntegra se realice el 3 de junio. El Juzgado dictó también cárcel para un exsecretario municipal y absolución para los demás implicados.,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052822442441116.jpg",https://www.opinion.com.bo/articulo/cochabamba/mochilas-i-5-anos-carcel-leyes-bastan-alcaldia-apelara/20240529000009946544.html,MELISSA REVOLLO P.,2024-05-29,Cochabamba,opinion
"Pasajes: Tras 13 horas, transporte levanta bloqueos en la Llajta",El sector levantó la extrema medida de presión pasada las 17:00 de hoy martes. ,"/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052817581961225.jpg",https://www.opinion.com.bo/articulo/cochabamba/luego-13-horas-bloqueo-nivelacion-pasajes-transporte-levanta-bloqueo-llajta/20240528180249946508.html,Violeta Soria,2024-05-28,Cochabamba,opinion
"Llega Corpus Christi y con la fiesta, un feriado con actividades; mira el programa","Y es que, en esta ocasión, el día declarado como feriado nacional arrancará desde muy temprano con el tradicional armado de mosaicos de flores realizado por más de 30 unidades educativas.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2023/06/08/2023060816380373747.jpg",https://www.opinion.com.bo/articulo/cochabamba/llega-corpus-christi-fiesta-feriado-varias-actividades-mira-programa/20240528163740946502.html,Violeta Soria,2024-05-28,Cochabamba,opinion
Transporte continúa bloqueo pese a reunión con Alcaldía; habrá consulta a bases,"""Seguramente tomaremos nuestro tiempo"", dijo Orellana tras indicar que socializarán con las bases la petición de levantar el bloqueo. Por el momento, la medida de presión continúa. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/28/2024052813160757976.jpg",https://www.opinion.com.bo/articulo/cochabamba/transporte-continua-bloqueo-pese-reunion-alcaldia-habra-consulta-bases/20240528131644946493.html,Redacción Digital,2024-05-28,Cochabamba,opinion
